BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
207223	417541	142	207223				0.165214517780839	0.915044247787611	0.360798768054248
268506	301113	216	268506				0.00015536104744501	1.52724077328647	0.00611243563311552
211972	473115	98	211972				0.0013223263104441	0.778318276580959	0.0185324032971731
497413	315841	161	497413				0.0591723473036897	1.05846774193548	0.183410761808367
222169	975088	144	222169				0.276954162669927	1.3085700978109	0.503572301443591
213253	280269	86	213253				0.0461966634103764	0.684296249377912	0.160963538604198
537746	409445	219	537746				0.127421118808115	0.637667583865113	0.305018429478493
199786	637184	174	199786				0.432323993805433	0.980170331765603	0.624167766056594
428311	471511	85	428311				0.133745266921162	0.952538997676734	0.315256700599882
356938	895137	247	356938				0.402093425254101	1.05708661417323	0.601188228049821
367991	525157	188	367991				0.0256959771386624	0.602097290999126	0.103230795113583
218512	437089	156	218512				0.266926991336823	0.950819672131147	0.497259153216178
203592	592345	85	203592				0.630934696446004	1.2078611898017	0.79825141153467
369589	914459	246	369589				0.111433888236115	0.545961002785515	0.28841949680322
455340	1030001	299	455340				0.296004722932114	1.14259259259259	0.518450767264325
242219	853373	132	242219				0.0674837315034509	1.42321116928447	0.202451194510353
322652	594784	116	322652				0.393955231235034	0.919649960222753	0.599056236586824
223121	859963	204	223121				0.000598663189008905	2.79668508287293	0.0130808102305333
201042	298036	132	201042				0.568506764009356	0.860665137614679	0.752579154648488
566628	730536	217	566628				0.316095211368617	0.952142690136611	0.536897013427577
241087	739222	353	241087				0.434144310511578	0.825531914893617	0.624843213259654
199777	675254	217	199777				0.00362308639837303	2.38602620087336	0.0293660687026025
537763	527270	142	537763				0.746677195184869	0.792803250145096	0.874411230116113
300139	457148	85	300139				0.894195626832532	1.15532286212914	0.948754602230139
199794	681176	361	199794				0.00891031892679543	2.11272727272727	0.0527765044125576
213353	695971	293	213353				0.132161747697587	1.24395604395604	0.313121679160437
309642	227707	173	309642				5.792348554987e-05	1.48072562358277	0.00382295004629142
217797	655403	273	217797				0.0025130268082292	2.80434782608696	0.023552118857495
204426	479219	155	204426				0.164382040896447	1.27017937219731	0.360798768054248
300129	371476	85	300129				0.832167499519573	1.07505910165485	0.927899731828286
696208	648089	154	696208				0.853632333319766	0.940600122473974	0.931696700252085
300108	664281	85	300108				0.00340338646105411	1.21725731895223	0.0285884462728545
242417	374883	283	242417				0.886323384842808	1.01092896174863	0.945684535328816
225384	849622	338	225384				0.0508084289180727	1.15841584158416	0.167081852770653
317187	809952	387	317187				0.386399039324707	1.87105263157895	0.593077595242574
673413	309265	170	673413				0.878718393948592	1	0.944111390707557
