BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
xylitol	566749	217	200524	C00379	6912	HEBKCHPVOIAQTA-NGQZWQHPSA-N	0.00575543123492853	0.461616161616162	0.0396867049333878
xanthosine	924754	325	237801	C01762	64959	UBORTCNDUKBEOP-UUOKFMHZSA-N	0.272950063388692	0.954128440366973	0.500407572787944
xanthine	702391	353	203224	C00385	1188	LRFVTYWOQMYALW-UHFFFAOYSA-N	0.000171994942057363	0.314510364546104	0.00611243563311552
valine	309905	144	227947	C00183	6287	KZSNJWFQEVHDMF-BYPYZUCNSA-N	0.299227016542758	0.800264444266367	0.521671251482091
uridine-5'-monophosphate	979035	352	270802	C00105 	6030	DJJCXFVJDGTHFX-XVFCMESISA-N	0.215919549987026	0.796747967479675	0.440410417832507
uridine	856953	258	213127	C00299	6029	DRTQHJPVMGBUCF-XVFCMESISA-N	0.225080469085461	1.61764705882353	0.451035334776978
uric acid	730534	441	304993	C00366	1175	LEHOTFFKMJEONL-UHFFFAOYSA-N	0.00471050868148129	0.694020818203825	0.0351008872716832
urea	331223	171	199770	C00086	1176	XSQUKJJJFZCRTK-UHFFFAOYSA-N	0.239184404526338	0.851542976145399	0.462103586741137
uracil	385903	99	199600	C00106	1174	ISAKRJDGNUQOIC-UHFFFAOYSA-N	0.0151832995895358	0.524960380348653	0.0701468441036554
UDP-glucuronic acid	586393	217	328006	C00167	17473	HDYANYHVCAPMJV-LXQIFKJMSA-N	0.00970949616300633	0.679324894514768	0.054364980106278
UDP GlcNAc	623732	226	227600	C00043	445675	LFTYTUAZOPRMMI-CFRASDGPSA-N	0.000491653521027089	0.386581469648562	0.0130808102305333
tyrosine	670802	218	381469	C00082	6057	OUYCCCASQSFEME-QMMMGPOBSA-N	0.167904188596674	0.736331787229843	0.360798768054248
tryptophan	779834	202	199775	C00078	6305	QIVBCDIJIAJPQS-VIFPVBQESA-N	0.808800036654745	0.913638436977345	0.920358662400227
triethanolamine	530879	262	200764	C06771	7618	GSEJCLTVZPLZKY-UHFFFAOYSA-N	0.0246594083942468	1.1906976744186	0.0999354971766844
trehalose	947837	191	199289	C01083	7427	HDTRYLNUVZCQOY-LIZSDCNHSA-N	0.0701544326040387	0.693593314763231	0.209105470084296
trans-4-hydroxyproline	460567	158	199804	C01157	5810	PMMYEEVYMWASQN-DMTCNVIQSA-N	0.00205753901532454	0.719257540603248	0.0224468932262092
tocopherol alpha	1067178	237	199211	C02477	14985	GVJHHUAWPYXKBD-IEOSBIPESA-N	4.48041792850848e-06	0.21520618556701	0.00138496652974666
thymine	420134	255	236696	C00178	1135	RWQNBRDOKXIBIV-UHFFFAOYSA-N	0.0200171232659649	0.82312925170068	0.0848432197144567
threonine	408911	117	269656	C00188	6288	AYFVYJQAPQTCCC-GBXIJSLDSA-N	0.122923451261106	0.647160826129717	0.299039217583304
threonic acid	497167	292	199262	C01620	439535	JPIJQSOTBSSVTP-UHFFFAOYSA-N	0.108512153595383	0.80079813767875	0.286472085491811
threitol	467314	217	202661	  	169019	UNXHWFMMPAWVPI-QWWZWVQMSA-N	0.855617146669486	0.928909952606635	0.931696700252085
taurine	557250	326	234595	C00245	1123	XOAAWQZATWQOTB-UHFFFAOYSA-N	0.0100579667609375	0.564478584729981	0.054364980106278
tagatose	630162	307	325185	D09007	92092	BJHIKXHVCXFQLS-PQLUHFTBSA-N	0.0106792863130813	1.39175257731959	0.0567106928349835
sucrose	916949	271	203674	C00089	5988	CZMRCDWAGMRECN-UGDNZRGBSA-N	0.832547661567471	1.20245398773006	0.927899731828286
succinic acid	370518	247	199210	C00042	1110	KDYFGRWQOYBRFD-UHFFFAOYSA-N	0.105603796345795	0.901590457256461	0.28039628684918
stigmasterol	1111133	129	321615	C05442	5280794	HCXVJBMSMIARIN-PHZDYDNGSA-N	0.322318674442213	1.04285714285714	0.539533433305444
stearic acid	787358	117	199195	C01530	5281	QIQXTHQIDYTFRH-UHFFFAOYSA-N	0.274032718431493	1.50539095482468	0.500407572787944
spermidine	792258	144	200990	C00315	1102	ATHGHQPFGPMSJY-UHFFFAOYSA-N	0.00751792564591572	1.32369942196532	0.0474229648477365
sorbitol	667682	319	204185	C00794	5780	FBPFZTCFMRRESA-JGWLITMVSA-N	0.631307703080026	0.93368700265252	0.79825141153467
shikimic acid	610984	204	199162	C00493	8742	JXOHGGNKMLTUBP-HSUXUTPPSA-N	0.328728065800859	0.910569105691057	0.543735884242421
serine	396734	204	486007	C00065	5951	MTCFGRXMJLQNBG-REOHCLBHSA-N	0.69003992015975	0.877427850323713	0.836741320508673
salicylaldehyde	406706	193	228532	C06202	6998	SMQUZDBALVYZAC-UHFFFAOYSA-N	0.805345784869075	1.06260869565217	0.918690747183982
ribose	553411	307	204210	C00121	5779	HMFHBZSHGGEWLO-SOOFDHNKSA-N	0.905465305013747	0.9097605893186	0.950738570264434
ribonic acid	598019	292	199341	C01685	5460677	QXKAIJAYHKCRRA-BXXZVTAOSA-N	0.965470426502445	1.11965811965812	0.980323817679406
ribitol	576156	217	367970	C00474	827	HEBKCHPVOIAQTA-UHFFFAOYSA-N	5.99552610279938e-06	0.446774193548387	0.00138496652974666
quinic acid	630216	255	227967	C00296	6508	AAWZDTNXLSGCEK-LNVDRNJUSA-N	0.583698551589038	1.08139534883721	0.768286982433435
pyrophosphate	546635	451	235832	C00013	1023	XPPKVPWEQAFLFU-UHFFFAOYSA-N	0.606662064423215	0.970744680851064	0.787434491834136
putrescine	588249	174	200452	C00134	1045	KIDHWZJUCRJVML-UHFFFAOYSA-N	0.167608674495371	0.945161290322581	0.360798768054248
pseudo uridine	813829	217	213381	C02067	15047	PTJWIQPHWPFNBW-GBNDHIKLSA-N	0.287453364590555	0.837569060773481	0.508825495941902
proline	364232	142	199611	C00148	145742	ONIBWKKTOPOVIA-BYPYZUCNSA-N	0.00707601084087806	0.557394262214396	0.0465040167176181
pipecolic acid	403598	156	200382	C00408	439227	HXEACLLIILLPRG-YFKPBYRVSA-N	0.00528790561981349	0.836283185840708	0.0380383876800121
phosphoric acid	342472	314	218342	C00009	1004	NBIIXXVUZAFLBC-UHFFFAOYSA-N	0.0123042168042737	0.779969560416604	0.0617885669953744
phosphoethanolamine	604454	100	199628	C00346	1015	SUHOOTKUPISOBE-UHFFFAOYSA-N	0.00819470768983145	0.65651760228354	0.0496460240181526
phenylpyruvic acid	516882	116	236874	C00166	997	BTNMPGBKDVTSJY-UHFFFAOYSA-N	0.0828589503397235	0.726651480637813	0.236301450968841
phenylethylamine	510041	174	438065	C05332	1001	BHHGXPLMPWCGHP-UHFFFAOYSA-N	0.372812238928818	1.34350393700787	0.580036133604914
phenylalanine	538016	218	217642	C00079	6140	COLNVLDHVKWLRT-QMMMGPOBSA-N	0.115544619050701	0.613468439940891	0.2960797918115
pentadecanoic acid	674704	117	203296	C16537	13849	WQEPLUUGTLDZJY-UHFFFAOYSA-N	0.35446264821632	1.17079482439926	0.562755132219725
pelargonic acid	399163	117	201810	C01601	8158	FBUKVWPVBMHYJY-UHFFFAOYSA-N	0.0818115992399735	1.23687134286349	0.234763719558185
pantothenic acid	691214	103	205158	C00864	6613	GHOKWGTUZJEAQD-ZETCQYMHSA-N	0.984832025556733	0.88180764774044	0.989113903928719
palmitic acid	711066	313	227993	C00249	985	IPCSVZSSVZVIGE-UHFFFAOYSA-N	0.381005261622638	1.25731695135351	0.590686009629727
oxoproline	489576	156	228006	C01879	7405	ODHCTXKNWHHXJC-VKHMYHEASA-N	0.0267699335025957	0.675036594978043	0.106618183432752
oxalic acid	259625	147	207563	C00209	971	MUBZPKHOEPUJKR-UHFFFAOYSA-N	0.851149812009787	1.16408502321036	0.931696700252085
orotic acid	584723	254	237885	C00295	967	PXQPEWDEAKTCGB-UHFFFAOYSA-N	0.121806465534872	0.910828025477707	0.299039217583304
ornithine	619715	142	268366	C00077	6262	AHLPHDHHMVZTML-BYPYZUCNSA-N	1.75640749655404e-05	1.83208020050125	0.00221295918373558
oleic acid	778858	339	199610	C00712	445639	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	0.51691274993226	0.883026831474224	0.706549380084924
octadecanol	754493	327	410809	D01924	8221	GLDOVTGHNKAZLK-UHFFFAOYSA-N	0.329536899540861	0.984158415841584	0.543735884242421
octadecane-1,12-diol NIST	821168	187	321385	  	95421	KHLCTMQBMINUNT-UHFFFAOYSA-N	0.269720606165427	1.04464285714286	0.500407572787944
nicotinamide	470102	179	296490	C00153	936	DFPAKSUCGFBDDF-UHFFFAOYSA-N	0.00199298288413933	0.486486486486487	0.0224468932262092
N-methylalanine	286258	130	205663	C02721	5288725	GDFAOVXKHJXLEI-VKHMYHEASA-N	0.115996628393683	0.8433837890625	0.2960797918115
N-acetyl-D-mannosamine	723859	202	243111	C00645	65150	MBLBDJOUHNCFQT-WCTZXXKLSA-N	0.000622895725263491	0.695402298850575	0.0130808102305333
myristic acid	634543	285	199929	C06424	11005	TUNFSRHWOTWDNC-UHFFFAOYSA-N	0.683246184462642	1.18416968442835	0.833522594574063
methionine sulfoxide	637668	301	303827	C02989	25244659	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	0.0297578852317054	1.11895910780669	0.115530613252503
methionine	483977	176	210265	C00073	6137	FFEARJCKVFRZRR-BYPYZUCNSA-N	0.161648343015582	0.601957295373665	0.360798768054248
methanolphosphate	287964	241	410813	 	83032	LBDROUOCQSGOFI-UHFFFAOYSA-N	0.0811476590786565	0.719498790943064	0.234313865589621
mannose	645005	205	215860	C00159	18950	WQZGKKKJIJFFOK-QTVWNMPRSA-N	0.672477977443381	1.16844349680171	0.827703906350772
mannitol	665530	103	241287	C00392	6251	FBPFZTCFMRRESA-KVTDHHQDSA-N	0.32929943485049	1.20514238319049	0.543735884242421
maltotriose	1177212	204	203245	C01835	92146	RXVWSYJTUUKTEA-CGQAXDJHSA-N	0.109488382525429	0.915673160802559	0.287407004129251
maltose	955559	361	205510	C00208	6255	GUBGYTABKSRVRQ-QUYVBRFLSA-N	0.0804293952421839	0.68836291913215	0.234313865589621
malic acid	461034	233	247180	C00149	222656	BJEPYKJPYRNKOW-REOHCLBHSA-N	0.0122799027831568	0.616690647482014	0.0617885669953744
maleimide	244928	154	200907	C07272	10935	PEEHTFAAVSWFBL-UHFFFAOYSA-N	0.30590553954657	0.88268156424581	0.527344624143714
lysine	662967	156	237589	C00047	5962	KDXKERNSBIXSRK-YFKPBYRVSA-N	0.000161636614163237	2.86219739292365	0.00611243563311552
linoleic acid	777102	337	199240	C01595	5280450	OYHQOLUKZRVURQ-HZJYTTRNSA-N	0.212046979654587	0.952202436738519	0.435403131557419
levoglucosan	569799	204	199201	  	2724705	TWNIBLMWSKIRAT-VFUOTHLCSA-N	0.393410881438525	1.00374531835206	0.599056236586824
leucine	350582	158	211938	C00123	6106	ROHFNLRQFUQHCH-YFKPBYRVSA-N	0.155223666744621	0.607540494043561	0.350732168024042
lauric acid	548310	117	374008	C02679 	3893	POULHZVOKOAJMA-UHFFFAOYSA-N	0.332858378934365	1.15821439416945	0.545674955530997
kynurenine	769271	218	226885	C00328	161166	YGPSJZOEDVAXAB-QMMMGPOBSA-N	0.325352686754653	1.32478632478632	0.542645997403067
isothreonic acid	490829	292	563314	 	 		0.0146677382081958	0.809798270893372	0.0686992381215882
isoleucine	359190	158	214141	C00407	6306	AGPKZVBTJJNPAG-WHFBIAKZSA-N	0.040898134652948	0.606754749433195	0.147616704762984
isoheptadecanoic acid	750645	117	200398	  	10465	KEMQGTRYUADPNZ-UHFFFAOYSA-N	0.964489862832028	1.02895553257497	0.980323817679406
inositol-4-monophosphate	845491	318	200698	C03546	440043	INAPMGSXUVUWAF-GFWFORPUSA-N	0.0321867172363901	1.27319587628866	0.122415278524414
inositol myo-	729867	305	199164	C00137	892	CDAISMWEOUEBRE-UHFFFAOYSA-N	0.277945750796787	0.895218726551833	0.503572301443591
inosine 5'-monophosphate	1017326	315	229187	C00130	8582	GRSZFWQUAKGDAV-KQYNXXCUSA-N	0.00252497173669856	0.546448087431694	0.023552118857495
inosine	897806	230	199606	C00294	6021	UGQMRVRMYYASKQ-KQYNXXCUSA-N	0.257965346958625	0.95035825595219	0.486448939979121
indole-3-lactate	764543	202	223518	C02043	92904	XGILAAMKEQUXLS-UHFFFAOYSA-N	0.136189031857478	0.833333333333333	0.319387475726674
icosenoic acid	848697	129	214000	C16526	5282767	LQJBNNIYVWPHFW-QXMHVHEDSA-N	0.44760065288907	1.01094890510949	0.638245375415896
hypoxanthine	618133	265	410816	C00262	790	FDGQSTZJBFJUBT-UHFFFAOYSA-N	0.062515270848903	0.594170196238001	0.190013520606534
hydroxylamine	254242	146	348772	C00192	787	AVXURJPOCDRRFD-UHFFFAOYSA-N	0.0428081611771703	1.20487001098499	0.153312949332191
hydroxycarbamate NIST	325357	278	203241	  	16639161	DRAJWRKLRBNJRQ-UHFFFAOYSA-N	0.878361639338739	1.15873015873016	0.944111390707557
homoserine	444264	218	206163	C00263	12647	UKAUYVFTDYCKQA-VKHMYHEASA-N	0.0147212653117689	0.885496183206107	0.0686992381215882
histidine	663938	154	368048	C00135	6274	HNDVDQJCIGZPNO-YFKPBYRVSA-N	0.0240148386020925	1.124191461837	0.0981845613643074
guanosine	955831	324	213307	C00387	6802	NYHBQMYGNKIUIF-UUOKFMHZSA-N	0.428208847770448	0.920747575112373	0.620164538150304
guanine	744267	352	352795	C00242	764	UYTPUPDQBNUYGX-UHFFFAOYSA-N	0.416487777605595	1.01543513957307	0.614135042565727
glycolic acid	229810	177	216047	C00160	757	AEMRFAOFKBGASW-UHFFFAOYSA-N	0.406076949847844	1.02989130434783	0.605185647837755
glycocyamine	511031	171	368038	C00581	3946848	BPMFZUMJYQTVII-UHFFFAOYSA-N	0.0144459406422037	0.757847533632287	0.0686992381215882
glycine	364262	174	227957	C00037	750	DHMQDGOQFOQNFH-UHFFFAOYSA-N	0.0860629640389544	0.729042247290422	0.239524634855403
glycerol-beta-phosphate	574994	243	212582	C02979	2526	DHCLVCXQIBBOPH-UHFFFAOYSA-N	0.0095729073539887	0.787234042553192	0.054364980106278
glycerol-alpha-phosphate	591357	299	199419	C00093	754	AWUCVROLDVIAJX-UHFFFAOYSA-N	0.0912691974955395	0.640723981900453	0.248172314349923
glycerol-3-galactoside	801542	204	219508	C05401	656504	NHJUPBDCSOGIKX-VGPGGAHRSA-N	0.122981496408718	0.596774193548387	0.299039217583304
glycerol	343749	205	207507	C00116	753	PEDCQBHIVMGVHV-UHFFFAOYSA-N	0.0093383766732866	0.655369354475088	0.0539291252882301
glyceric acid	377001	189	199174	C00258	439194	RBNPOMFGQQGHHO-UWTATZPHSA-N	0.00169993499043958	0.744545454545455	0.0213572104999642
glutamine	599904	156	324855	C00064	5961	ZDXPYRJPNDTMRX-VKHMYHEASA-N	0.819724885624583	0.809657914354344	0.923148097311927
glutamic acid	528717	246	433267	C00025	33032	WHUUTDBJXJRKMK-VKHMYHEASA-N	0.000921622670651452	0.588710328676411	0.0163765259169604
glucuronic acid	666401	333	353273	C00191	94715	AEMOLEFTQBMNLQ-AQKNRBDQSA-N	0.480132046957151	0.978609625668449	0.672184865740011
glucose-6-phosphate	806065	387	199915	C00092	5958	NBSCHQHZLSJFNQ-GASJEMHNSA-N	0.591475486824247	1.35151515151515	0.776311576456824
glucose	650726	160	219881	C00031	107526	GZCGUPFRVQAUEE-SLPGGIOYSA-N	0.000574529314550583	2.85482029008965	0.0130808102305333
gluconic acid	693140	333	211990	C00257	10690	RGHNJXZEOKUKBD-SQOUGZDYSA-N	0.016764633834012	1.51445086705202	0.0737643888696528
gamma-tocopherol	1026222	223	202089	C02483	92729	QUEDXNHFTDJVIY-DQCZWYHMSA-N	0.0172415141311948	0.634660421545667	0.0744446684917009
galactose-6-phosphate	817783	387	199932	C00446	99058	VFRROHXSMXFLSN-UHFFFAOYSA-N	0.489567672104708	1.32330827067669	0.677493899051424
fumaric acid	390853	245	325032	C00122	444972	VZCYOOQTPOCHFL-OWOJBTEDSA-N	0.395188327365853	0.974731823599523	0.599056236586824
fucose+ rhamnose	577861	117	205102	C01018	94270	PNNNRSAQSRJVSB-DPYQTVNSSA-N	0.00132374309265522	0.46037296037296	0.0185324032971731
fucose	584612	117	205106	C01019	94270	PNNNRSAQSRJVSB-DPYQTVNSSA-N	0.00769853325450268	0.622435020519836	0.0474229648477365
fructose-6-phosphate	804605	315	201024	C00085	69507	GSXOAOHZAIYLCY-HSUXUTPPSA-N	0.511373917207875	1.9962962962963	0.701052669881419
fructose 1 phosphate	800708	387	284388	C01094	65246	ZKLLSNQJRLJIGT-UYFOZJQFSA-N	0.348547910815248	1.04444444444444	0.561077124726985
fructose	644460	217	386192	C00095	5984	BJHIKXHVCXFQLS-UYFOZJQFSA-N	0.286434731808026	0.684859154929577	0.508825495941902
FAD	585516	246	225859	C00016	643975	VWWQXMAJTJZDQX-UYBVJOGSSA-N	0.00411176294107955	0.692857142857143	0.0327523185996337
ethanolamine	344330	174	368025	C00189	700	HZAXFHJVJLSVMW-UHFFFAOYSA-N	0.0806485768189857	0.714656670785082	0.234313865589621
ethanol phosphate NIST	316988	211	404433	 	12691392	ZJXZSIYSNXKHEA-UHFFFAOYSA-L	0.337642567850344	1.01402080506558	0.549263613897391
erythronic acid lactone	407645	147	200446	  	5325915	SGMJBNSHAZVGMC-PWNYCUMCSA-N	0.0111280517862435	1.98250728862974	0.0584222718777784
erythronic acid	512521	218	212276	  	2781043	JPIJQSOTBSSVTP-PWNYCUMCSA-N	0.00329164194605703	0.828125	0.0281618255384879
erythritol	471274	205	200514	C00503	222285	UNXHWFMMPAWVPI-ZXZARUISSA-N	0.626879516066563	0.832669322709163	0.79825141153467
dodecanol	508488	243	218955	C02277	8193	LQZZUXJYWNFBMV-UHFFFAOYSA-N	0.0128080151327718	1.31675392670157	0.0636269138853825
dodecane	247379	98	221584	C08374	8182	SNRUBQQJIBEYMU-UHFFFAOYSA-N	0.938831149887155	1.13144758735441	0.971358842821945
dihydrosphingosine	873228	204	445065	C00836	91486	OTKJDMGTUTTYMP-ZWKOTPCHSA-N	0.00714672118387638	1.55	0.0465040167176181
dihydroabietic acid	849610	239	226283	  	227277	BTAURFWABMSODR-UHFFFAOYSA-N	0.694948344114681	0.883449883449883	0.840239938520005
digalacturonic acid	956026	233	296148		6857565	IGSYEZFZPOZFNC-MMGXBETBSA-N	0.0904804332153353	0.993103448275862	0.248172314349923
cytidine-5'-diphosphate	861380	217	203807	C00112	290	ZWIADYZPOWUWEW-UHFFFAOYSA-N	0.400577135235733	0.854054054054054	0.6008657028536
cytidine-5-monophosphate NIST	975265	169	203268	C00055	6131	IERHLVCPSMICTF-XVFCMESISA-N	0.00208921300590259	0.387234042553191	0.0224468932262092
cystine	804143	218	223490	C00491	67678	LEVWYRKDKASIDU-IMJSIDKUSA-N	0.122053971358729	1.04554455445545	0.299039217583304
cysteine-glycine	715639	220	227594	C01419	439498	ZUKPVRWZDMRIEO-VKHMYHEASA-N	0.461390389355828	1.1551724137931	0.653872269577891
cysteine	501345	220	200918	C00097	594	XUJNEKJLAYXESH-UHFFFAOYSA-N	0.000140349948746471	0.551859551859552	0.00611243563311552
creatinine	502434	115	199603	C00791	588	DDRJAANPRJIHGJ-UHFFFAOYSA-N	0.0575755787191773	0.545853926414058	0.179729171407162
conduritol beta epoxide	704838	318	367907	 	9989541	ZHMWOVGZCINIHW-SPHYCDKFSA-N	0.620971512758991	0.839965107696437	0.79825141153467
citrulline	622308	157	339415	C00327	9750	RHGKLRLOHDJJDR-BYPYZUCNSA-N	0.00827433733635877	1.28092783505155	0.0496460240181526
citric acid	616681	273	232087	C00158	311	KRKNYBCHXYNGOX-UHFFFAOYSA-N	0.000611770947867531	2.20610169491525	0.0130808102305333
cholesterol	1075918	129	372926	C00187	5997	HVYWMOMLDIMFJA-DPAQBDIFSA-N	0.315986953168415	0.945297976808743	0.536897013427577
cellobiotol	956355	204	200508	  	160514	VQHSOMBJVWLPSR-WELRSGGNSA-N	0.0764742514107832	0.724014336917563	0.225038879947655
caprylic acid	343899	201	331346	C06423	379	WWZKQHOCKIZLMA-UHFFFAOYSA-N	0.0172340531964189	1.16353383458647	0.0744446684917009
capric acid	451122	117	213517	C01571	2969	GHVNFZFCNZKVNT-UHFFFAOYSA-N	0.0504459540182037	1.1055786076533	0.167081852770653
biuret	571672	171	228536	C06555	7913	OHJMTUPIZMNBFR-UHFFFAOYSA-N	0.00458700252022784	1.36601307189542	0.0347409043335289
beta-alanine	431950	248	227997	C00099	239	UCMIRNVEIXFBKS-UHFFFAOYSA-N	0.68377719338435	0.922337014606341	0.833522594574063
benzoic acid	338714	179	386128	C00180	243	WPYMKLBDIGXBTP-UHFFFAOYSA-N	0.146036470894071	1.18412805014551	0.339039444990255
behenic acid	919675	117	203290	C08281	8215	UKMSUNONTOPOIO-UHFFFAOYSA-N	0.48002439284605	1.06344410876133	0.672184865740011
azelaic acid	610175	317	225382	C08261	2266	BDJRBEYXGGNYIS-UHFFFAOYSA-N	0.0482944933324116	1.12244897959184	0.164136311911444
aspartic acid	480295	232	497687	C00049	44367445	CKLJMWTZIZZHCS-REOHCLBHSA-N	0.641878279185464	0.91491150235838	0.808032057176252
asparagine	554276	116	372854	C00152	236	DCXYFEDJOCDNAF-UHFFFAOYSA-N	0.0486724561295839	0.679111467951291	0.164136311911444
ascorbic acid	672508	332	211436	C00072	54670067	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	0.36973643249042	1.10909090909091	0.579044853595166
